Date,Price,Open,High,Low,Vol.,Change %
30/08/2022,1.4592,1.4484,1.4609,1.4373,146.63K,0.76%
29/08/2022,1.4482,1.4499,1.462,1.4436,107.84K,-0.19%
26/08/2022,1.451,1.433,1.4519,1.4264,115.97K,1.29%
25/08/2022,1.4325,1.4471,1.4493,1.43,116.48K,-1.02%
24/08/2022,1.4472,1.4431,1.4538,1.4423,102.33K,0.32%
23/08/2022,1.4426,1.454,1.4587,1.4359,109.49K,-0.79%
22/08/2022,1.4541,1.4558,1.4575,1.4429,123.50K,-0.01%
19/08/2022,1.4543,1.4451,1.4581,1.4447,113.84K,0.64%
18/08/2022,1.4451,1.4428,1.4496,1.4344,118.89K,0.20%
17/08/2022,1.4422,1.4242,1.4471,1.4229,118.12K,1.31%
16/08/2022,1.4235,1.4239,1.4305,1.4202,100.55K,-0.01%
15/08/2022,1.4237,1.405,1.4264,1.4028,90.07K,1.41%
12/08/2022,1.4039,1.4075,1.4115,1.4026,97.20K,-0.24%
11/08/2022,1.4073,1.4126,1.4159,1.4009,105.82K,-0.35%
10/08/2022,1.4122,1.4358,1.4397,1.4064,106.29K,-1.62%
9/08/2022,1.4355,1.431,1.4383,1.4295,95.16K,0.34%
8/08/2022,1.4306,1.4468,1.4498,1.4264,82.46K,-1.13%
5/08/2022,1.447,1.4347,1.4558,1.4335,107.88K,0.89%
4/08/2022,1.4343,1.4401,1.4421,1.4304,108.20K,-0.33%
3/08/2022,1.4391,1.4451,1.4523,1.4375,107.17K,-0.39%
2/08/2022,1.4447,1.4237,1.4467,1.4217,133.41K,1.49%
1/08/2022,1.4235,1.4322,1.4355,1.4188,116.02K,-0.54%
29/07/2022,1.4312,1.4314,1.4471,1.4219,95.78K,-0.03%
28/07/2022,1.4316,1.4302,1.4379,1.4255,111.04K,0.14%
27/07/2022,1.4296,1.4412,1.4468,1.4259,99.13K,-0.78%
26/07/2022,1.4409,1.4386,1.4448,1.4318,109.37K,0.22%
25/07/2022,1.4378,1.4423,1.4536,1.4354,115.40K,-0.40%
22/07/2022,1.4436,1.4428,1.4509,1.433,97.49K,0.06%
21/07/2022,1.4428,1.452,1.4581,1.4412,121.98K,-0.61%
20/07/2022,1.4516,1.4496,1.4551,1.4427,116.05K,0.16%
19/07/2022,1.4493,1.4682,1.4703,1.4464,100.15K,-1.25%
18/07/2022,1.4676,1.4733,1.4745,1.4587,101.12K,-0.27%
15/07/2022,1.4715,1.4817,1.4885,1.469,111.43K,-0.69%
14/07/2022,1.4817,1.479,1.4968,1.473,132.52K,0.22%
13/07/2022,1.4784,1.4799,1.487,1.4696,126.91K,-0.07%
12/07/2022,1.4795,1.4855,1.4902,1.4748,116.79K,-0.34%
11/07/2022,1.4846,1.4578,1.4895,1.4572,113.28K,1.83%
8/07/2022,1.4579,1.4625,1.4726,1.4545,124.15K,-0.29%
7/07/2022,1.4622,1.4758,1.4785,1.4599,119.59K,-0.91%
6/07/2022,1.4756,1.4699,1.479,1.4647,135.64K,0.42%
5/07/2022,1.4695,1.4566,1.4791,1.4501,137.87K,0.89%
4/07/2022,1.4565,1.4679,1.4721,1.4514,102.71K,-0.72%
1/07/2022,1.4671,1.4487,1.4785,1.448,96.93K,1.29%
30/06/2022,1.4484,1.4528,1.4593,1.445,120.45K,-0.31%
29/06/2022,1.4529,1.4475,1.4574,1.4448,108.33K,0.38%
28/06/2022,1.4474,1.4447,1.4484,1.4356,115.56K,0.25%
27/06/2022,1.4438,1.4406,1.4478,1.4369,108.13K,0.35%
24/06/2022,1.4388,1.4507,1.452,1.4371,116.82K,-0.85%
23/06/2022,1.4512,1.444,1.4561,1.4431,127.63K,0.54%
22/06/2022,1.4434,1.4345,1.4534,1.4339,105.16K,0.61%
21/06/2022,1.4347,1.4389,1.4423,1.4297,104.80K,-0.24%
20/06/2022,1.4382,1.4444,1.4463,1.4292,89.84K,-0.20%
17/06/2022,1.4411,1.4191,1.4499,1.4176,141.08K,1.57%
16/06/2022,1.4188,1.428,1.4403,1.4144,134.69K,-0.63%
15/06/2022,1.4278,1.4558,1.4568,1.4235,125.68K,-1.90%
14/06/2022,1.4554,1.4442,1.4598,1.4344,122.97K,0.79%
13/06/2022,1.444,1.4204,1.447,1.4172,108.33K,1.85%
10/06/2022,1.4178,1.4088,1.4212,1.4007,102.94K,0.65%
9/06/2022,1.4086,1.3902,1.4098,1.3892,94.42K,1.34%
8/06/2022,1.39,1.382,1.3937,1.3819,95.04K,0.51%
7/06/2022,1.3829,1.3902,1.3973,1.3799,88.25K,-0.51%
6/06/2022,1.39,1.3872,1.3915,1.3827,71.34K,0.19%
3/06/2022,1.3873,1.3765,1.3887,1.3729,56.52K,0.81%
2/06/2022,1.3761,1.3935,1.4005,1.3754,75.06K,-1.25%
1/06/2022,1.3935,1.3936,1.3976,1.3829,81.64K,0.00%
31/05/2022,1.3935,1.3893,1.3988,1.388,87.48K,0.33%
30/05/2022,1.3889,1.3974,1.3988,1.3888,63.38K,-0.53%
27/05/2022,1.3963,1.4089,1.4106,1.3951,85.63K,-0.87%
26/05/2022,1.4085,1.411,1.4171,1.4063,90.49K,-0.06%
25/05/2022,1.4094,1.4077,1.4216,1.4044,108.79K,0.13%
24/05/2022,1.4075,1.4067,1.4171,1.4057,118.90K,0.03%
23/05/2022,1.4071,1.4176,1.4203,1.4028,104.03K,-1.01%
20/05/2022,1.4215,1.4184,1.4282,1.4135,115.71K,0.26%
19/05/2022,1.4178,1.4378,1.4385,1.4137,132.39K,-1.36%
18/05/2022,1.4374,1.4227,1.439,1.4188,110.43K,1.06%
17/05/2022,1.4223,1.4346,1.4354,1.4202,112.58K,-0.84%
16/05/2022,1.4343,1.4434,1.4552,1.432,116.32K,-0.44%
13/05/2022,1.4407,1.4584,1.4592,1.4405,95.98K,-1.17%
12/05/2022,1.4577,1.4413,1.4645,1.4379,123.32K,1.15%
11/05/2022,1.4411,1.4413,1.4435,1.4174,118.16K,0.01%
10/05/2022,1.4409,1.4378,1.4472,1.4311,128.82K,0.24%
9/05/2022,1.4374,1.4129,1.44,1.4114,110.25K,1.76%
6/05/2022,1.4126,1.4061,1.4167,1.4013,116.35K,0.48%
5/05/2022,1.4059,1.3772,1.4131,1.376,112.27K,2.12%
4/05/2022,1.3767,1.4094,1.4108,1.3762,93.06K,-2.31%
3/05/2022,1.4092,1.4182,1.4191,1.3989,96.51K,-0.63%
2/05/2022,1.4182,1.4139,1.4226,1.4117,74.54K,0.20%
29/04/2022,1.4154,1.4098,1.4169,1.3926,111.96K,0.44%
28/04/2022,1.4092,1.4034,1.4175,1.396,101.41K,0.45%
27/04/2022,1.4029,1.4039,1.4083,1.3905,106.26K,-0.04%
26/04/2022,1.4035,1.3931,1.4048,1.3831,111.08K,0.75%
25/04/2022,1.3931,1.3757,1.4016,1.3757,112.65K,0.86%
22/04/2022,1.3812,1.3561,1.3823,1.355,83.04K,1.89%
21/04/2022,1.3556,1.3423,1.3578,1.3406,99.63K,1.01%
20/04/2022,1.3421,1.3559,1.3569,1.3407,91.07K,-1.06%
19/04/2022,1.3565,1.3609,1.3615,1.3511,88.00K,-0.29%
18/04/2022,1.3604,1.3513,1.362,1.3501,58.67K,0.66%
15/04/2022,1.3515,1.3479,1.3532,1.3464,34.71K,0.30%
14/04/2022,1.3475,1.3428,1.352,1.3388,96.00K,0.43%
13/04/2022,1.3417,1.3406,1.3529,1.3376,94.41K,0.10%
12/04/2022,1.3403,1.3477,1.3516,1.3343,79.52K,-0.58%
11/04/2022,1.3481,1.3434,1.3489,1.3394,67.11K,0.53%
8/04/2022,1.341,1.3368,1.3467,1.3344,72.08K,0.32%
7/04/2022,1.3367,1.3309,1.3393,1.3298,67.54K,0.45%
6/04/2022,1.3307,1.3196,1.3358,1.3168,76.35K,0.86%
5/04/2022,1.3193,1.3257,1.3271,1.3051,68.48K,-0.48%
